fp_id,area_m2,mean_height_m,max_height_m,osm_matched,osm_id,osm_tag,osm_name,osm_iou,osm_overlap_pct,category_estimated,description
277,122.76,2.7,8.9,False,NONE,,,0.0,0.0,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (122.8 mp, H=2.7m)"
278,121.77,4.1,6.8,True,275159802,yes,,0.2917,92.7,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=275159802, tag=yes)"
281,120.62,5.8,7.5,False,411801540,house,,0.09,33.8,CLADIRE_REALA_PARTIAL_SUPRAPUSA_OSM,Corp adiacent/aripă parțial suprapusă cu clădire OSM (id=411801540)
282,115.83,4.9,11.7,False,275157489,chapel,,0.0649,12.7,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (115.8 mp, H=4.9m)"
284,109.86,3.6,5.3,False,NONE,,,0.0,0.0,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (109.9 mp, H=3.6m)"
285,109.56,7.4,9.4,True,276735499,house,,0.2541,44.2,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735499, tag=house)"
289,104.12,16.3,16.9,True,258636072,university,Institutul de Științele Vieții,0.0818,99.7,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=258636072, tag=university)"
292,96.35,3.1,9.7,False,316635719,house,,0.0203,4.5,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (96.3 mp, H=3.1m)"
293,96.14,5.5,7.8,False,NONE,,,0.0,0.0,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (96.1 mp, H=5.5m)"
296,91.41,2.9,4.6,False,276735493,yes,,0.051,23.7,CLADIRE_REALA_PARTIAL_SUPRAPUSA_OSM,Corp adiacent/aripă parțial suprapusă cu clădire OSM (id=276735493)
297,90.76,4.2,5.6,False,NONE,,,0.0,0.0,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (90.8 mp, H=4.2m)"
298,87.54,3.5,7.2,False,NONE,,,0.0,0.0,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (87.5 mp, H=3.5m)"
299,86.62,7.4,9.4,False,276735713,house,,0.0616,24.6,CLADIRE_REALA_PARTIAL_SUPRAPUSA_OSM,Corp adiacent/aripă parțial suprapusă cu clădire OSM (id=276735713)
300,82.78,7.8,9.8,True,276735713,house,,0.1432,54.9,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735713, tag=house)"
301,76.33,7.7,9.3,True,276735713,house,,0.1909,74.9,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735713, tag=house)"
303,67.33,3.5,7.9,False,NONE,,,0.0,0.0,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (67.3 mp, H=3.5m)"
304,66.12,3.8,7.7,False,NONE,,,0.0,0.0,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (66.1 mp, H=3.8m)"
305,66.03,7.0,14.4,False,NONE,,,0.0,0.0,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (66.0 mp, H=7.0m)"
307,61.03,6.0,9.9,False,NONE,,,0.0,0.0,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (61.0 mp, H=6.0m)"
310,49.7,8.6,19.1,False,276735531,yes,Sala de sport,0.0005,0.6,CLADIRE_POTENTIALA_SAU_VEGETATIE_DENSA,"Corp izolat în campus/curte (49.7 mp, H=8.6m)"
311,48.0,9.1,11.1,True,276735599,house,,0.1398,48.0,CLADIRE_REALA_CONFIRMATA_OSM,"Clădire fizică reală înregistrată în OSM (id=276735599, tag=house)"
316,41.4,4.0,12.6,False,NONE,,,0.0,0.0,ANEXA_INDIVIDUALA_MICA,"Anexă gospodărească/garaj (41.4 mp, H=4.0m)"
