ref_id,pred_id,matched,iou,boundary_rmse_m,hausdorff_m,centroid_disp_m,area_ref_m2,area_pred_m2,area_error_m2,area_error_pct,perimeter_ref_m,perimeter_pred_m,mean_angle_dev_deg,compliance_tier,error_flags
NONE (ARTEFACT),LIDAR_075,False,0.0000,0.000,0.000,0.000,0.00,2850.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_076,False,0.0000,0.000,0.000,0.000,0.00,18.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_077,False,0.0000,0.000,0.000,0.000,0.00,105.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_078,False,0.0000,0.000,0.000,0.000,0.00,22.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_079,False,0.0000,0.000,0.000,0.000,0.00,17.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_080,False,0.0000,0.000,0.000,0.000,0.00,27.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_081,False,0.0000,0.000,0.000,0.000,0.00,1254.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_082,False,0.0000,0.000,0.000,0.000,0.00,20.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_083,False,0.0000,0.000,0.000,0.000,0.00,28.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_084,False,0.0000,0.000,0.000,0.000,0.00,16.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_085,False,0.0000,0.000,0.000,0.000,0.00,1511.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
NONE (ARTEFACT),LIDAR_086,False,0.0000,0.000,0.000,0.000,0.00,33.00,0.00,0.00,0.00,0.00,0.00,REJECT,"FALSE_POSITIVE_ARTEFACT"
